Time,Value
25.8,-8.205369115
25.9,-7.983273268
26,-7.761579752
26.1,-7.539090514
26.2,-7.31228292
26.3,-7.087031007
26.4,-6.863442063
26.5,-6.640666723
26.6,-6.41567409
26.7,-6.191816926
26.8,-5.967074633
26.9,-5.745586753
27,-5.524286628
27.1,-5.30179739
27.2,-5.076786876
27.3,-4.850327969
27.4,-4.626533389
27.5,-4.407182336
27.6,-4.185050726
27.7,-3.95924449
27.8,-3.735530376
27.9,-3.51293385
28,-3.288415074
28.1,-3.06712389
28.2,-2.844232321
28.3,-2.619937062
28.4,-2.396339178
28.5,-2.174770832
28.6,-1.956886053
28.7,-1.734960079
28.8,-1.508438587
28.9,-1.285520196
29,-1.063558459
29.1,-0.842991471
29.2,-0.62237978
29.3,-0.400257111
29.4,-0.177240372
29.5,0.04478395
29.6,0.262802839
29.7,0.483700633
29.8,0.706315041
29.9,0.929921865
30,1.148316264
30.1,1.367872953
30.2,1.585748792
30.3,1.807674766
30.4,2.029600739
30.5,2.250230312
30.6,2.467882633
30.7,2.6874125
30.8,2.905726433
30.9,3.127232194
31,3.345653415
31.1,3.564476967
31.2,3.781557083
31.3,4.001659155
31.4,4.222404957
31.5,4.442623258
31.6,4.659283161
31.7,4.874020815
31.8,5.089572072
31.9,5.30987978
32,5.52957058
32.1,5.746158957
32.2,5.963605642
32.3,6.180068851
32.4,6.396299601
32.5,6.615185738
32.6,6.831479073
32.7,7.045429945
32.8,7.260462642
32.9,7.478687167
33,7.698136568
33.1,7.911676168
33.2,8.126950264
33.3,8.339452744
33.4,8.553957939
33.5,8.769357204
33.6,8.986803889
33.7,9.201237559
33.8,9.412756562
33.9,9.62561667
34,9.839093685
34.1,10.05250812
34.2,10.26624441
34.3,10.47720015
34.4,10.68854928
34.5,10.90300083
34.6,11.11551225
34.7,11.32767498
34.8,11.53829992
34.9,11.74894273
35,11.95988059
35.1,12.17240989
35.2,12.38273978
35.3,12.59170175
35.4,12.80146837
35.5,13.01191449
35.6,13.22509646
35.7,13.43512237
35.8,13.64208162
35.9,13.84931803
36,14.05802071
36.1,14.2683059
36.2,14.47597146
36.3,14.68504965
36.4,14.8904264
36.5,15.09611607
36.6,15.30292332
36.7,15.5115366
36.8,15.71722627
36.9,15.92200398
37,16.12694263
37.1,16.33373201
37.2,16.54044986
37.3,16.74499512
37.4,16.94867313
37.5,17.15039313
37.6,17.35323071
37.7,17.55917966
37.8,17.76570082
37.9,17.96841323
38,18.16910505
38.1,18.37083399
38.2,18.57318878
38.3,18.7759012
38.4,18.97672713
38.5,19.17638183
38.6,19.37655509
38.7,19.57910657
38.8,19.78143454
38.9,19.9816972
39,20.17769516
39.1,20.37505209
39.2,20.575279
39.3,20.7747817
39.4,20.97281814
39.5,21.17047012
39.6,21.36646807
39.7,21.56294882
39.8,21.7610836
39.9,21.95873559
40,22.15219438
40.1,22.34686911
40.2,22.54224122
40.3,22.73986638
40.4,22.93408513
40.5,23.12886715
40.6,23.32196832
40.7,23.51353168
40.8,23.70633781
40.9,23.90017211
41,24.09555316
41.1,24.28516746
41.2,24.4761318
41.3,24.66750741
41.4,24.85876679
41.5,25.04997253
41.6,25.23832619
41.7,25.42546391
41.8,25.61668754
41.9,25.80853701
42,25.9976238
42.1,26.18434131
42.2,26.36846602
42.3,26.55587196
42.4,26.7441541
42.5,26.93113983
42.6,27.117607
42.7,27.30248272
42.8,27.48527527
42.9,27.67356634
43,27.86017656
43.1,28.0441761
43.2,28.22424173
43.3,28.40503156
43.4,28.58937979
43.5,28.77322733
43.6,28.95653844
43.7,29.1382581
43.8,29.31688428
43.9,29.49792445
44,29.6795547
44.1,29.86036241
44.2,30.0380677
44.3,30.21660447
44.4,30.39553463
44.5,30.57477772
44.6,30.75306416
44.7,30.92928529
44.8,31.10337853
44.9,31.27852678
45,31.4546138
45.1,31.63327575
45.2,31.80754781
45.3,31.98019266
45.4,32.15179145
45.5,32.32784271
45.6,32.50283003
45.7,32.67556429
45.8,32.84823596
45.9,33.01742971
46,33.18713307
46.1,33.36136043
46.2,33.53260159
46.3,33.70018601
46.4,33.86836052
46.5,34.03661549
46.6,34.20629203
46.7,34.37649608
46.8,34.54422355
46.9,34.70908999
47,34.87382233
47.1,35.04118323
47.2,35.20828485
47.3,35.37211418
47.4,35.53726673
47.5,35.7005775
47.6,35.86454093
47.7,36.02913022
47.8,36.19173467
47.9,36.35383844
48,36.51471734
48.1,36.67613268
48.2,36.8370831
48.3,36.99718416
48.4,37.15654314
48.5,37.31322885
48.6,37.47235537
48.7,37.63155341
48.8,37.78948188
48.9,37.9488945
49,38.10446262
49.1,38.25806379
49.2,38.4160012
49.3,38.57358098
49.4,38.72893453
49.5,38.87995183
49.6,39.0312463
49.7,39.18550909
49.8,39.33987021
49.9,39.49261308
50,39.6427542
50.1,39.79404867
50.2,39.94545043
50.3,40.09552896
50.4,40.24708271
50.5,40.39315581
50.6,40.53769112
50.7,40.68392515
50.8,40.83311856
50.9,40.98372459
51,41.13030732
51.1,41.27361774
51.2,41.41835868
51.3,41.56416357
51.4,41.71024561
51.5,41.85323417
51.6,41.99541807
51.7,42.13731587
51.8,42.28111804
51.9,42.42230058
52,42.56346524
52.1,42.70250201
52.2,42.84020662
52.3,42.97978878
52.4,43.1201756
52.5,43.25889051
52.6,43.39561164
52.7,43.53132248
